,address,beds,phone,price,title
173,"103 N Starr Ave, Pittsburgh, PA 15202",Condo for Rent,NA,$900,"2 br, 1 bath Apartment - 103 N Starr Ave"
174,"847 Flemington St, Pittsburgh, PA 15217",Condo for Rent,NA,$600,847 Flemington St
175,"433 Flowers Ave, Pittsburgh, PA 15207",House for Rent,NA,$749,433 Flowers Ave
176,"22 Soffel St Unit 2, Pittsburgh, PA 15211",3 Bed,NA,"$1,200",22 Soffel St Unit 2
177,"5101 1/2 Lytle St, Pittsburgh, PA 15207",House for Rent,NA,$699,2 Bedroom/1 Bath Available in Hazelwood!!
178,"214 Franklin Ave, Pittsburgh, PA 15221",House for Rent,NA,"$1,749","5 br, 3 bath House - 214 Franklin Ave"
179,"680 Florida Ave, Pittsburgh, PA 15228",Condo for Rent,NA,$775,"1 br, 1 bath  - Florida Avenue Apartments"
180,"729 S Negley Ave, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,275","1 br, 1 bath  - 729 South Negley Avenue 2"
181,"220 Heinz St, Pittsburgh, PA 15212",Condo for Rent,NA,"$1,750",220 Heinz St
182,"808 Portland St, Pittsburgh, PA 15206",Condo for Rent,NA,$775,"1 br, 1 bath  - 808 Portland St"
183,"1511 St Patrick St, Pittsburgh, PA 15210",Townhome for Rent,NA,$895,1511 St Patrick St
184,"353 Grace St, Pittsburgh, PA 15211",Condo for Rent,NA,$750,353 Grace St
185,"362 Semple St Unit 1, Pittsburgh, PA 15213",Condo for Rent,NA,$950,362 Semple St Unit 1
186,"375 Semple St, Pittsburgh, PA 15213",House for Rent,NA,"$2,450","5 br, 3 bath House - 375 Semple St"
187,"5552 Beacon St, Pittsburgh, PA 15217",House for Rent,NA,"$1,300",5552 Beacon St
188,"2660 S 18th St, Pittsburgh, PA 15210",Condo for Rent,NA,"$1,100","3 br, 1 bath Apartment - 2660 S 18th St"
189,"5720 Solway St, Pittsburgh, PA 15217",Condo for Rent,NA,"$2,450","3 br, 2 bath Apartment - 5720 Solway"
190,"1670 Breining St, Pittsburgh, PA 15234",Condo for Rent,NA,"$1,200","3 br, 1.5 bath Apartment - 1670 Breining St"
191,"130 S 22nd St, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,400",130 S 22nd St
192,"1815 Locust St Unit #2, Pittsburgh, PA 15219",2 Bed,NA,"$1,150",1815 Locust St Unit #2
193,"7123 Penn Ave Unit Apt. 2, Pittsburgh, PA 15208",2 Bed,NA,"$1,195",7123 Penn Ave Unit Apt. 2
194,"412 William St, Pittsburgh, PA 15211",Condo for Rent,NA,$800,"2 br, 1 bath Apartment - 412 William St"
195,"308 S Braddock Ave Unit 1, Pittsburgh, PA 15221",Condo for Rent,NA,"$1,200",308 S Braddock Ave Unit 1
196,"19 Edith Pl, Pittsburgh, PA 15213",Condo for Rent,NA,$420,"3 br, 1 bath Apartment - 19 Edith Pl"
197,"1324 Wightman St, Pittsburgh, PA 15217",House for Rent,NA,"$1,995","3 br, 1.5 bath House - 1324 Wightman St"
198,"1121 Sheffield St, Pittsburgh, PA 15233",House for Rent,NA,"$1,800","3 br, 2 bath House - 1121 Sheffield St"
199,"5524 Covode St, Pittsburgh, PA 15217",Condo for Rent,NA,"$1,195","2 br, 1 bath  - 5524 Covode St"
200,"3820 Brownsville Rd Unit 24, Pittsburgh, PA 15227",Condo for Rent,NA,$565,3820 Brownsville Rd Unit 24
201,"250 37th St, Pittsburgh, PA 15201",House for Rent,NA,$900,"3 br, 1 bath House - 250 37th St"
202,"3734 Orpwood St, Pittsburgh, PA 15213",Condo for Rent,NA,$400,3734 Orpwood St
203,"353 Grace St, Pittsburgh, PA 15211",Condo for Rent,NA,"$1,500",353 Grace St
204,"2359 Tilbury Ave, Pittsburgh, PA 15217",Townhome for Rent,NA,"$1,149","3 br, 1 bath Duplex - 2359 Tilbury Ave 2359"
205,"1615 Crosby Ave, Pittsburgh, PA 15216",House for Rent,NA,"$1,095","3 br, 1 bath House - 1615 Crosby Ave"
206,"6623 Ridgeville St, Pittsburgh, PA 15217",Townhome for Rent,NA,"$1,425",6623 Ridgeville St
207,"1130 Pennsbury Blvd, Pittsburgh, PA 15205",House for Rent,NA,"$1,250","2 br, 1 bath House - 1130 Pennsburry BLVD"
208,"5616 Callowhill St, Pittsburgh, PA 15206",Condo for Rent,NA,"$1,500",5616 Callowhill St
209,"702 Cascade Rd, Pittsburgh, PA 15221",House for Rent,NA,"$1,295","3 br, 1.5 bath House - 702 Cascade Rd"
210,"5931 Walnut St, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,575","1 br, 1 bath Apartment - 5931 Walnut St 101"
211,"5717 Howe St, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,875","2 br, 1.5 bath Apartment - 5717 Howe St Apt 1 Unit Apt 1"
212,"5855 Darlington Rd, Pittsburgh, PA 15217",Condo for Rent,NA,"$1,025",5855 Darlington Rd
213,"311 Oakland Ave Unit 1, Pittsburgh, PA 15213",Condo for Rent,NA,"$1,495",311 Oakland Ave Unit 1
214,"827 S Braddock Ave, Pittsburgh, PA 15221",Condo for Rent,NA,"$1,495",827 S Braddock Ave
215,"1401 N St Clair St, Pittsburgh, PA 15206",Condo for Rent,NA,"$1,195",1401 N St Clair St
216,"2322 E Carson St, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,350",2322 E Carson St
217,"3053 Brereton St Unit 2, Pittsburgh, PA 15219",Condo for Rent,NA,"$1,100",3053 Brereton St Unit 2
218,"100 Crofton Dr, Pittsburgh, PA 15238",House for Rent,NA,"$2,300",100 Crofton Dr
219,"3946 Winterburn Ave, Pittsburgh, PA 15207",House for Rent,NA,"$1,150",3946 Winterburn Ave
220,"4525 Friendship Ave, Pittsburgh, PA 15224",House for Rent,NA,"$1,249",4525 Friendship Ave
221,"918 Ivy St Unit #2, Pittsburgh, PA 15232",2 Bed,NA,"$1,150",918 Ivy St Unit #2
222,"5441 Potter St, Pittsburgh, PA 15232",House for Rent,NA,"$2,300",5441 Potter St
223,"729 N St Clair St Unit 3, Pittsburgh, PA 15206",1 Bed,NA,"$1,095",729 N St Clair St Unit 3
224,"120 Prospect St, Pittsburgh, PA 15211",3 Bed,NA,"$1,500",Stunning 3 Bed/2 Bathroom with Amazing Views! Unit B
225,"5535 Wellesley Ave, Pittsburgh, PA 15206",House for Rent,NA,"$1,350",5535 Wellesley Ave
226,"3030 Merwyn Ave, Pittsburgh, PA 15204",House for Rent,NA,$695,3030 Merwyn Ave
227,"184 41st St, Pittsburgh, PA 15201",Townhome for Rent,NA,"$1,350","3 br, 2 bath Townhome - 184 41st Street"
228,"831 Concord St Unit 3, Pittsburgh, PA 15212",1 Bed,NA,$675,831 Concord St Unit 3
229,"5735 Howe St Unit 2, Pittsburgh, PA 15232",2 Bed,NA,"$1,795",5735 Howe St Unit 2
230,"3028 Merwyn Ave, Pittsburgh, PA 15204",House for Rent,NA,$695,3028 Merwyn Ave
231,"708 Mifflin Ave Unit 3, Pittsburgh, PA 15221",Condo for Rent,NA,"$1,195",708 Mifflin Ave Unit 3
232,"104 Oakview Ave, Pittsburgh, PA 15218",House for Rent,NA,"$1,250","3 br, 1.5 bath House - 104 Oakview Ave."
233,"1025 Farragut St, Pittsburgh, PA 15206",Condo for Rent,NA,$995,"3 br, 1 bath  - 1025 Farragut St Apt 2 Unit Apt 2"
234,"2112 E Carson St Unit 4, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,300",2112 E Carson St Unit 4
235,"110 Mercia Dr, Pittsburgh, PA 15237",House for Rent,NA,"$2,000","4 br, 2.5 bath House - 110 Mercia Dr"
236,"7108 Baker St, Pittsburgh, PA 15206",House for Rent,NA,"$1,200","3 br, 1 bath House - 7108 Baker St"
237,"1014 Bradish St Unit #2, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,800",1014 Bradish St Unit #2
238,"3532 Brighton Rd, Pittsburgh, PA 15212",Condo for Rent,NA,$900,"2 br, 1 bath Apartment - 3532 Brighton Rd"
239,"72 S 14th St Unit 2, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,350",72 S 14th St Unit 2
240,"1335 Cedar Blvd Unit Apt. F, Pittsburgh, PA 15228",Condo for Rent,NA,"$1,195",1335 Cedar Blvd Unit Apt. F
241,"3015 Josephine St, Pittsburgh, PA 15203",House for Rent,NA,"$1,095","2 br, 2 bath House - 3015 Josephine St"
242,"2727 Broadway Ave Unit #2, Pittsburgh, PA 15216",Condo for Rent,NA,"$1,000",2727 Broadway Ave Unit #2
243,"5746 Howe St, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,050",5746 Howe St
244,"569 Loretto Rd, Pittsburgh, PA 15217",House for Rent,NA,"$1,075","2 br, 1 bath House - 569 Loretto Road"
245,"2001 Boulevard of the Allies, Pittsburgh, PA 15219",Townhome for Rent,NA,$800,2001 Boulevard of the Allies
246,"1911 Jane St Unit #2, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,500",1911 Jane St Unit #2
247,"2727 Broadway Ave Unit #1, Pittsburgh, PA 15216",Condo for Rent,NA,"$1,000",2727 Broadway Ave Unit #1
248,"760-782 Shady Dr E, Pittsburgh, PA 15228",Condo for Rent,NA,"$1,200",760-782 Shady Dr E
249,"760-782 Shady Dr E, Pittsburgh, PA 15228",Condo for Rent,NA,"$1,200",760-782 Shady Dr E
250,"3837 Hiawatha St, Pittsburgh, PA 15212",House for Rent,NA,"$1,000",3 Bedroom Northside House with Huge Yard
251,"2402 Cobden St, Pittsburgh, PA 15203",House for Rent,NA,"$1,225","4 br, 2 bath House - 2402 Cobden St"
252,"351 S Atlantic Ave, Pittsburgh, PA 15224",Condo for Rent,NA,"$1,095","2 br, 1 bath  - 351 S Atlantic Ave 1"
253,"1027 Macon Ave, Pittsburgh, PA 15218",Condo for Rent,NA,"$1,200","2 br, 1 bath Apartment - 1027 Macon Ave"
254,"105 Shadyhill Rd, Pittsburgh, PA 15205",House for Rent,NA,"$1,200","1 br, 1 bath House - 105 Shadyhill Rd"
255,"101 Shadyhill Rd, Pittsburgh, PA 15205",House for Rent,NA,"$1,950","5 br, 3 bath House - 101 Shadyhill Rd"
256,"602 Shady Ave Unit Apt. 2, Pittsburgh, PA 15206",Condo for Rent,NA,"$2,500",602 Shady Ave Unit Apt. 2
257,"2116 Columbia Ave, Pittsburgh, PA 15218",Condo for Rent,NA,$900,2116 Columbia Ave
258,"2116 Columbia Ave, Pittsburgh, PA 15218",Condo for Rent,NA,$750,2116 Columbia Ave
259,"69 Allen St, Pittsburgh, PA 15210",House for Rent,NA,"$1,299","5 br, 3 bath House - 69 Allen"
260,"144 44th St, Pittsburgh, PA 15201",House for Rent,NA,"$1,950","4 br, 2 bath House - 144 44th St"
261,"430 Brownsville Rd, Pittsburgh, PA 15210",Condo for Rent,NA,$650,430 Brownsville
262,"827 S Braddock Ave, Pittsburgh, PA 15221",Condo for Rent,NA,"$1,495",827 S Braddock Ave
263,"1500 Fallowfield Ave Unit Apt 2A, Pittsburgh, PA 15216",Condo for Rent,NA,$895,1500 Fallowfield Ave Unit Apt 2A
264,"2412 Cobden St, Pittsburgh, PA 15203",House for Rent,NA,"$1,175","3 br, 2.5 bath House - 2412 Cobden St"
265,"68 Gregory St, Pittsburgh, PA 15203",House for Rent,NA,"$1,000","3 br, 1 bath House - 68 Gregory St"
266,"6635 Ridgeville St, Pittsburgh, PA 15217",Townhome for Rent,NA,"$1,485",6635 Ridgeville St
267,"7225 Meade St, Pittsburgh, PA 15208",Condo for Rent,NA,"$1,275",7225 Meade St
268,"302 S Negley Ave, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,495",302 S Negley Ave
269,"310 Amber St, Pittsburgh, PA 15206",Condo for Rent,NA,$995,310 Amber St
270,"2325-2327 Eldridge St, Pittsburgh, PA 15217",Condo for Rent,NA,$950,2325-2327 Eldridge St
271,"230 Oakwood Ave, Pittsburgh, PA 15229",Condo for Rent,NA,$725,230 Oakwood Ave
272,"230 Oakwood Ave, Pittsburgh, PA 15229",Condo for Rent,NA,$750,230 Oakwood Ave
273,"2325-2327 Eldridge St, Pittsburgh, PA 15217",Condo for Rent,NA,$995,2325-2327 Eldridge St
274,"411 West St, Pittsburgh, PA 15221",House for Rent,NA,"$1,015",411 West St
275,"185 Bale Dr, Pittsburgh, PA 15235",Townhome for Rent,NA,$805,185 Bale Dr
276,"917 Excelsior St, Pittsburgh, PA 15210",House for Rent,NA,$950,"2 br, 1 bath House - 917 Excelsior"
277,"185 Bale Dr, Pittsburgh, PA 15235",Townhome for Rent,NA,$775,185 Bale Dr
278,"3344 Beechwood Blvd, Pittsburgh, PA 15217",House for Rent,NA,"$2,100","6 br, 2.5 bath House - 3344 Beechwood Blvd"
279,"2715 Murray Ave Unit N/A, Pittsburgh, PA 15217",1 Bed,NA,"$1,055",2715 Murray Ave Unit N/A
280,"220 Ophelia St Unit Apt Two, Pittsburgh, PA 15213",Condo for Rent,NA,"$1,300",220 Ophelia St Unit Apt Two
281,"47 Bracken Pl, Pittsburgh, PA 15239",Townhome for Rent,NA,"$1,500","3 br, 2.5 bath Townhome - 47 Bracken Pl"
282,"3310 Brownsville Rd Unit 14, Pittsburgh, PA 15227",Condo for Rent,NA,$475,3310 Brownsville Rd Unit 14
283,"2437 Edgar St, Pittsburgh, PA 15210",House for Rent,NA,$895,"4 br, 1 bath House - 2437 Edgar Street"
284,"526 Penn Ave, Pittsburgh, PA 15222",1-2 Bed,NA,"$1,300 - 1,995",526 Penn Avenue
285,"908 Penn Ave, Pittsburgh, PA 15222",1-2 Bed,NA,"$1,195 - 1,595",908 Penn Avenue
286,"915 Penn Ave, Pittsburgh, PA 15222",1-2 Bed,NA,"$1,195 - 2,000",The Penn Garrison Lofts
287,"5562 Hobart St, Pittsburgh, PA 15217",1-2 Bed,NA,"$1,050 - 1,510",Wendover
288,"131 Edgewood Ave, Pittsburgh, PA 15218",2 Bed,NA,$900,Tudor Court
289,"4840 Harrison St, Pittsburgh, PA 15201",2 Bed,NA,"$1,850",Locomotive Lofts
290,"947 Bockstoce Ave, Pittsburgh, PA 15234",1-2 Bed,NA,$745 - 910,Place Sevile Apartments
291,"3080 Smallman St, Pittsburgh, PA 15201",2 Bed,NA,"$1,800",31st Street Lofts
292,"100 Bear Run Dr, Pittsburgh, PA 15237",1-2 Bed,NA,"$930 - 1,170",Bear Run Village
293,"3 Marhoefer Dr, Pittsburgh, PA 15236",2-3 Bed,NA,$850 - 960,Cloverleaf Village
294,"125 N Saint Clair St, Pittsburgh, PA 15206",1 Bed,NA,$853 - 950,Penn Manor Apartments
295,"50 Stotler Rd, Pittsburgh, PA 15235",3 Bed,NA,$805,Stotler Townhomes
296,"McKees Rocks, PA 15136",Condo for Rent,NA,$750,414 Ella St
297,"3705 Main St, Munhall, PA 15120",Condo for Rent,NA,$650,3705 Main St
298,"325 Johnston Rd, Penn Hills, PA 15235",House for Rent,NA,$999,"2 br, 1 bath House - 325 Johnston Rd"
299,"8005 Thon Dr, Verona, PA 15147",House for Rent,NA,$950,"3 br, 1.5 bath House - 8005 Thon Dr"
300,"West Mifflin, PA 15122",House for Rent,NA,$850,437 Bellwood Rd
301,"369 Questend Ave, Mount Lebanon, PA 15228",Townhome for Rent,NA,"$1,450","3 br, 1.5 bath Townhome - 369 Questend Ave"
302,"233 Clearview Ave, Crafton, PA 15205",House for Rent,NA,"$1,150","3 br, 1 bath House - 233 Clearview Ave"
303,"3705 Botsford St, Munhall, PA 15120",Condo for Rent,NA,$920,3705 Botsford St
304,"3545 York St, Munhall, PA 15120",House for Rent,NA,"$1,100","3 br, 1 bath House - 3545 York St"
305,"3310 Jameson Dr, Brentwood, PA 15227",3 Bed,NA,$725,Brentwood Townhomes
306,"405-419 S Braddock Ave, Pittsburgh, PA 15221",NA,NA,NA,Heidelberg
307,"1088 Greentree Rd, Pittsburgh, PA 15220",NA,NA,NA,Greentree Manor
308,"100-1300 Rosewood Ct, Pittsburgh, PA 15236",NA,NA,NA,Baldwin Commons
309,"800 Village Dr, Pittsburgh, PA 15237",NA,NA,NA,The Meadows at Stonebrook Village
310,"425 Cumberland Rd, Pittsburgh, PA 15237",NA,NA,NA,Cumberland Court
311,"89-97 Lowry St, Pittsburgh, PA 15202",NA,NA,NA,Lowry House
312,"3811-3845 Dawson St, Pittsburgh, PA 15213",NA,NA,NA,University Commons & Lofts
313,"176-178 W Prospect Ave, Pittsburgh, PA 15205",NA,NA,NA,Comfort Arms
314,"118 Maple Ave, Pittsburgh, PA 15218",NA,NA,NA,118 Maple Ave
315,"1592 Crucible St, Pittsburgh, PA 15205",NA,NA,NA,Crafton Heights Townhomes
316,"909 Penn Ave, Pittsburgh, PA 15222",NA,NA,NA,Lando Lofts
317,"1655 5th Ave, Pittsburgh, PA 15219",NA,NA,NA,Flats on Fifth
318,"5836 Penn Ave, Pittsburgh, PA 15206",NA,NA,NA,East Liberty Place South
319,"115 N Beatty St, Pittsburgh, PA 15206",NA,NA,NA,East Liberty Place North
320,"2217 E Carson St, Pittsburgh, PA 15203",NA,NA,NA,Carson Towers
321,"200 Cowan St, Pittsburgh, PA 15211",NA,NA,NA,Lofts of Mt. Washington
322,"149 Hazelwood Ave, Pittsburgh, PA 15207",NA,NA,NA,Hazelwood
323,"272 Mount Vernon Dr, Pittsburgh, PA 15223",NA,NA,NA,Shalercrest Apartments
324,"1215 Foster Ave, Pittsburgh, PA 15205",NA,NA,NA,Crafton Towers
325,"128 Edgewood Ave, Pittsburgh, PA 15218",NA,NA,NA,Lacrosse
326,"145 Washington Ave, Pittsburgh, PA 15202",NA,NA,NA,Kendall Arms
327,"600 Kelly Ave, Pittsburgh, PA 15221",NA,NA,NA,Village Square
328,"5601 Penn Ave, Pittsburgh, PA 15206",NA,NA,NA,New Pennley Place
329,"41 Allegheny Ave, Pittsburgh, PA 15212",NA,NA,NA,The Rivers Edge of Oakmont
330,"100 Felicity Dr, Pittsburgh, PA 15237",NA,NA,NA,North Hills Highlands Senior Living
331,"2829 Bedford Ave, Pittsburgh, PA 15219",NA,NA,NA,Christopher A. Smith Terrace Senior Living
332,"5610-5617 Elmer St, Pittsburgh, PA 15232",NA,NA,NA,The Elmer Street Apartments
333,"4646 Friendship Ave, Pittsburgh, PA 15224",NA,NA,NA,Noodle Factory
334,"6810-6834 Meade St, Pittsburgh, PA 15208",NA,NA,NA,6810-6834 Meade St
335,"711 S 21st St, Pittsburgh, PA 15203",NA,NA,NA,The Brew House
336,"111 Tecumseh St, Pittsburgh, PA 15207",NA,NA,NA,Hazelwood Towers
337,"5461 Penn Ave, Pittsburgh, PA 15206",NA,NA,NA,Fairmont Apartments
338,"900 Penn Ave, Pittsburgh, PA 15222",NA,NA,NA,900 Penn
339,"420 Dinwiddie St, Pittsburgh, PA 15219",NA,NA,NA,Ebenezer Tower
340,"6601-6651 Ridgeville St, Pittsburgh, PA 15217",NA,NA,NA,Ridgeville Townhomes
341,"1926 Pauline Ave, Pittsburgh, PA 15216",NA,NA,NA,Beechview Manor
342,"250 Nazareth Way, Pittsburgh, PA 15229",NA,NA,NA,Mt. Nazareth Commons
343,"5500 Elmer St, Pittsburgh, PA 15232",NA,NA,NA,5500 & 5508 Elmer Street Properties
344,"809 College St, Pittsburgh, PA 15232",NA,NA,NA,809 College St
345,"3783 Logans Ferry Rd, Pittsburgh, PA 15239",NA,NA,NA,Laural Oaks Court
346,"205 Robinson St, Pittsburgh, PA 15213",NA,NA,NA,205 Robinson St
347,"151 Robinson St, Pittsburgh, PA 15213",NA,NA,NA,151 Robinson St
348,"5629 Beacon St, Pittsburgh, PA 15217",NA,NA,NA,Beacon Commons
349,"5560 Forbes Ave, Pittsburgh, PA 15217",NA,NA,NA,Walnut on Wightman
350,"5326 Pocusset St, Pittsburgh, PA 15217",NA,NA,NA,Walnut on the Park
351,"5644 Hempstead Rd, Pittsburgh, PA 15217",NA,NA,NA,5644 Hempstead Road
352,"5615-5645 Hempstead Rd, Pittsburgh, PA 15217",NA,NA,NA,Hempstead Properties
353,"2129-2135 Wightman, Pittsburgh, PA 15217",NA,NA,NA,Wightman Street Apartments
354,"5532-5540 Covode St, Pittsburgh, PA 15217",NA,NA,NA,Concord Plaza
355,"5636 Forbes Ave, Pittsburgh, PA 15217",NA,NA,NA,5636 Forbes Ave
356,"106 15th St, Pittsburgh, PA 15229",NA,NA,NA,Laurel Ridge
357,"201 Center St, Pittsburgh, PA 15221",NA,NA,NA,201 Center Ave
358,"101 Mt Lebanon Blvd, Pittsburgh, PA 15228",NA,NA,NA,101 Mt Lebanon Blvd
359,"527 Monroe Ave, Pittsburgh, PA 15202",NA,NA,NA,Bellevue Apartments
360,"710 W North Ave, Pittsburgh, PA 15212",NA,NA,NA,West Park Court
361,"2948 Brownsville Rd, Pittsburgh, PA 15227",NA,NA,NA,Hillcrest Senior Residences
362,"972 Perry Hwy, Pittsburgh, PA 15237",NA,NA,NA,Marlett Arms
363,"200 Buchanan Pl, Pittsburgh, PA 15228",NA,NA,NA,200 Buchanan Pl
364,"196 Spring Ave, Pittsburgh, PA 15202",NA,NA,NA,196 Spring Ave
365,"50 Fremont Ave, Pittsburgh, PA 15202",NA,NA,NA,Fremont Square
366,"18 N Fremont Ave, Pittsburgh, PA 15202",NA,NA,NA,Canteberry Arms
367,"481 Dawson Ave, Pittsburgh, PA 15202",NA,NA,NA,Dawson House
368,"25 Hawley Ave, Bellevue, PA 15202",NA,NA,NA,Bellevue Gables
369,"901 Gray St, Mckees Rocks, PA 15136",NA,NA,NA,Meyers Ridge
370,"37 Washington Ave, Bellevue, PA 15202",NA,NA,NA,Bellevue Apartments
371,"5559 Hobart St, Pittsburgh, PA 15217",NA,NA,NA,Hobart Court
