,Unnamed: 0,address,beds,phone,price,title,address_geo,latitude,longitude
0,0,"401 Amberson Ave, Pittsburgh, PA 15232",1-2 Bed,412-208-4328,"$1,395 - 1,860",Shadyside Commons,"401, Amberson Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.453782,-79.941287125
1,1,"1876 Parkview Blvd, Pittsburgh, PA 15217",1-2 Bed,844-228-9323,"$1,390 - 2,050",The Gateway at Summerset,"Parkview Boulevard, Summerset, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4158874,-79.9209462
2,2,"6350 Penn Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-814-2588,"$1,740 - 3,080",Bakery Living Orange,"6350, Penn Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4587677867345,-79.9191243438661
3,3,"4107 Willow St, Pittsburgh, PA 15201",Studio - 2 Bed,412-437-2173,"$1,313 - 3,128",The Foundry at 41st,"The Foundry at 41st, 4107, Willow Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.47214545,-79.9640967542301
5,5,"1100 Liberty Ave, Pittsburgh, PA 15222",Studio - 2 Bed,866-350-8444,"$1,203 - 2,879",The Pennsylvanian,"Pittsburgh Union Station, 1100, Liberty Avenue, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.44519175,-79.991439299587
7,7,"300 Heinz St, Pittsburgh, PA 15212",1-3 Bed,412-847-5081,"$1,195 - 3,725",Heinz Lofts,"300, Heinz Street, Troy Hill, PGH, Allegheny County, Pennsylvania, 15212, USA",40.454095,-79.991096
9,9,"5522 Baum Blvd, Pittsburgh, PA 15232",Studio - 3 Bed,844-762-5514,"$952 - 3,042",Ollie at Baumhaus,"Ollie at Baumhaus, 5522, Baum Boulevard, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4573252,-79.9363714977744
11,11,"3922 Foster St, Pittsburgh, PA 15201",Studio - 3 Bed,844-831-9422,"$995 - 3,080",Arsenal 201,"Foster Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4699532,-79.9635357
12,12,"26 S 28th St, Pittsburgh, PA 15203",1-2 Bed,844-430-5599,"$995 - 1,374",Live South Side,"26, South 28th Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4257671518772,-79.9664264630501
18,18,"2501 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-437-2361,"$1,395 - 2,455",The Brake House Lofts,"Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4413713,-80.0040507
19,19,"2349 Railroad St, Pittsburgh, PA 15222",1-3 Bed,866-626-1231,"$1,635 - 7,898",The Cork Factory Lofts,"Bridgestreet at The Cork Factory, 2349, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4548656,-79.9827251168269
20,20,"475 Garner Ct, Pittsburgh, PA 15213",1-3 Bed,844-209-9199,"$1,095 - 2,175",Oak Hill Apartments,"475, Garner Court, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4423354288569,-79.9704125966193
21,21,"651 Oaklynn Ct, Pittsburgh, PA 15220",Studio - 3 Bed,412-253-4242,"$730 - 1,490",Crane Village Apartments,"651, Oaklynn Court, Crane Village, Banksville, PGH, Allegheny County, Pennsylvania, 15220, USA",40.4154684725044,-80.0335259392946
22,22,"717 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-223-9839,"$1,250 - 1,995",The Clark Building,"717, Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4425722827309,-79.999693523422
23,23,"611 William Penn Pl, Pittsburgh, PA 15219",1-3 Bed,412-620-6372,"$1,250 - 2,300",The Residences at the Historic Alcoa Building,"611, William Penn Place, Downtown, PGH, Allegheny County, Pennsylvania, 15219, USA",40.4412988133289,-79.9967525189058
24,24,"2400 Village Rd, Pittsburgh, PA 15205",1-3 Bed,412-533-5758,"$875 - 1,220",Emerald Gardens,"Village Road, Emerald Gardens, Fairywood, PGH, Allegheny County, Pennsylvania, 15205, USA",40.4487196,-80.0770864
25,25,"272 Shady Ave, Pittsburgh, PA 15206",1-3 Bed,844-823-6344,"$985 - 2,235","Franklin West Apartments, Leasing Office","272, Shady Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.45727845,-79.9226354993343
29,29,"275 Oakville Dr, Pittsburgh, PA 15220",Studio - 3 Bed,844-829-9060,"$695 - 1,215",Hyland Hills Apartments,"Oakville Drive, Hyland Hills Apartments, Banksville, PGH, Allegheny County, Pennsylvania, 15220, USA",40.4191147,-80.0358489
30,30,"400 5th Ave, Pittsburgh, PA 15219",Studio - 2 Bed,844-459-8552,"$1,153 - 2,501",Kaufmann's Grand on Fifth Avenue,"Fifth Avenue, Bellefield, North Oakland, PGH, Allegheny County, Pennsylvania, 15213-3704, USA",40.4470102,-79.9485357
32,32,"3030 S Water St, Pittsburgh, PA 15203",1 Bed,412-923-4675,"$1,400 - 1,600",3030 South Water Apartments,"South Water Street, SouthSide Works, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203-2275, USA",40.4279919,-79.9639442
35,35,"6105 Spirit St, Pittsburgh, PA 15206",Studio - 2 Bed,877-623-8306,"$1,466 - 7,003",Eastside Bond,"Eastside Bond Building B, 6105, Spirit Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.46002785,-79.923256625209
37,37,"5250 Liberty Ave, Pittsburgh, PA 15224",Studio - 3 Bed,844-857-3737,"$1,165 - 3,605",Morrow Park City Apartments,"5250, Liberty Avenue, Bloomfield, PGH, Allegheny County, Pennsylvania, 15224, USA",40.4568708337938,-79.9402810994
38,38,"2645 Railroad St, Pittsburgh, PA 15222",Studio - 2 Bed,844-750-1008,"$1,240 - 2,365",The Yards at 3 Crossings,"2645, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.456786910888,-79.9794936168839
39,39,"1420 Centre Ave, Pittsburgh, PA 15219",Studio - 2 Bed,412-532-1007,"$1,004 - 2,610",City View,"City View, 1420, Centre Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15232, USA",40.44040115,-79.9865252230886
41,41,"10 Allegheny Ctr, Pittsburgh, PA 15212",Studio - 2 Bed,412-253-4253,"$860 - 2,975",Park View Apartments,"Allegheny Center, PGH, Allegheny County, Pennsylvania, USA",40.4529367,-80.0063438
42,42,"1800 Fifth Ave, Pittsburgh, PA 15219",2-3 Bed,844-202-0680,"$1,600 - 2,200",Fifth Avenue School Lofts,"1800, Fifth Avenue, Soho, Bluff, PGH, Allegheny County, Pennsylvania, 15219, USA",40.438297,-79.98121
43,43,"100 7th St, Pittsburgh, PA 15222",1-2 Bed,888-843-1690,"$1,446 - 4,632",The Encore on 7th Apartments,"Bridgestreet The Encore on 7th, 100, 7th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.44414865,-80.0009956910752
44,44,"4101 Bigelow Blvd, Pittsburgh, PA 15213",1-2 Bed,412-307-7720,"$1,050 - 2,450",Schenley Apartments,"4101, Bigelow Boulevard, North Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.450834,-79.954848
45,45,"201 Stanwix St, Pittsburgh, PA 15222",1-2 Bed,844-222-1998,"$1,150 - 1,995",201 Stanwix Street Apartments,"Bell Telephone Company of Pennsylvania Western Headquarters Building, 201, Stanwix Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4400767,-80.0050858548482
46,46,"2404 Railroad St, Pittsburgh, PA 15222",Studio - 2 Bed,412-567-4141,"$1,242 - 2,316",Lot 24 Apartments,"2404, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4547825317453,-79.982086957673
47,47,"211 Forbes Ave, Pittsburgh, PA 15222",Studio - 2 Bed,844-885-7665,"$1,375 - 3,725",Market Square Place,"211, Forbes Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4405741491484,-80.0018870330785
48,48,"130 7th St, Pittsburgh, PA 15222",2 Bed,844-586-2302,"$1,725 - 1,750",Century Building,"130, 7th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4440730135247,-80.0007571580619
50,50,"3459 Butler St, Pittsburgh, PA 15201",2 Bed,412-253-2202,"$1,900 - 2,440",Doughboy Square Apartments,"3459, Butler Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4634539132545,-79.9667907000724
51,51,"300 Liberty Ave, Pittsburgh, PA 15222",Studio - 3 Bed,412-345-8286,"$1,330 - 5,995",River Vue,"Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4413713,-80.0040507
52,52,"3010 Jane St, Pittsburgh, PA 15203",2 Bed,412-923-4743,"$2,000",Print Shop Lofts,"3010, Jane Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4232933574971,-79.9648674630189
54,54,"2633 Fifth Ave, Pittsburgh, PA 15213",1-2 Bed,844-280-5364,"$1,300 - 1,900",Portal Place,"2633, Fifth Avenue, West Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4368926123739,-79.9659894651514
55,55,"121 7th St, Pittsburgh, PA 15222",2 Bed,844-723-3301,"$2,500 - 2,575",Aria Cultural District Lofts,"121, 7th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4441403879374,-80.000940310841
57,57,"841 California Ave, Pittsburgh, PA 15202",Studio - 2 Bed,412-368-9413,"$840 - 1,651",Avalon Arms Apartments,"Letter Carriers Building, 841, California Avenue, California-Kirkbride, PGH, Allegheny County, Pennsylvania, 15214, USA",40.45932865,-80.01801785
58,58,"100 Anderson St, Pittsburgh, PA 15212",1-2 Bed,888-353-5443,"$1,594 - 3,188",North Shore Apartments,"100, Anderson Street, North Shore, PGH, Allegheny County, Pennsylvania, 15212, USA",40.448203,-80.000384
60,60,"7070 Forward Ave, Pittsburgh, PA 15217",1-2 Bed,412-206-5629,"$1,119 - 1,995",Walnut Towers at Frick Park,"Forward Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4281986,-79.9266156
64,64,"121 S Highland Ave, Pittsburgh, PA 15206",Studio - 3 Bed,412-308-5384,"$1,522 - 3,187",Walnut on Highland,"Highland Building, 121, South Highland Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.46069975,-79.9247449470533
67,67,"2915 Sidney St, Pittsburgh, PA 15203",Studio - 2 Bed,412-419-1366,"$1,656 - 3,521",Hot Metal Flats,"Sidney Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4291106,-79.9709027
69,69,"5765 Centre Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-845-4811,"$1,297 - 1,620",Coda on Centre,"5765, Centre Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4581649633394,-79.9313172158883
70,70,"6201 Broad St, Pittsburgh, PA 15206",1-2 Bed,844-503-5881,"$699 - 1,225",Fairfield Apartments,"6201, Broad Street, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4616952,-79.9216899
71,71,"1411 Grandview Ave, Pittsburgh, PA 15211",1-2 Bed,877-340-0934,"$1,049 - 2,120",Grandview Pointe Apartments,"1411, Grandview Avenue, Duquesne Heights, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4389611214887,-80.0209921332631
72,72,"1001 N Negley Ave, Pittsburgh, PA 15206",1-2 Bed,412-436-5519,"$1,090 - 1,325",Highland Park Club Apartments,"1001, North Negley Avenue, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4743228,-79.9254412
74,74,"5700 Bunkerhill St, Pittsburgh, PA 15206",1-2 Bed,844-617-0572,"$1,035 - 1,355",Parklane,"5700, Bunkerhill Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.47885745,-79.919646859801
75,75,"2715 Murray Ave, Pittsburgh, PA 15217",Studio - 1 Bed,844-404-5887,"$890 - 1,155",Morrowfield,"The Morrowfield, 2715, Murray Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4284419,-79.924321639171
76,76,"515 S Aiken Ave, Pittsburgh, PA 15232",1 Bed,844-482-7905,"$1,180 - 1,225",Arlington,"515, South Aiken Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4554907716368,-79.938209335999
77,77,"8228 Ohio River Blvd, Pittsburgh, PA 15202",1-2 Bed,412-348-8305,$650 - 800,Emsworth Arms Apartments,"Ohio River Boulevard, Chateau, PGH, Allegheny County, Pennsylvania, 15233, USA",40.457283,-80.0299493
78,78,"5 Grandview Ave, Pittsburgh, PA 15211",2 Bed,844-681-2898,"$1,800 - 2,200",Mountvue Apartments,"5, Grandview Avenue, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4311716938775,-80.0061119795918
80,80,"700 Mansfield Ave, Pittsburgh, PA 15205",Studio - 2 Bed,412-924-8122,"$795 - 3,500",Terrain Apartments,"700, Mansfield Avenue, East Carnegie, Green Tree, Allegheny County, Pennsylvania, 15220, USA",40.417275207015,-80.0616588471137
85,85,"245 Lincoln Ave, Pittsburgh, PA 15202",Studio - 2 Bed,412-587-4921,$590 - 835,Lincoln House,"245, Lincoln Avenue, Larimer, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4605294438189,-79.9132832163029
87,87,"1601 Penn Ave, Pittsburgh, PA 15221",Studio - 2 Bed,844-218-9867,$569 - 889,Ambassador Apartments,"Penn Avenue, Park Place, Point Breeze North, PGH, Allegheny County, Pennsylvania, 15208, USA",40.4476295,-79.8966152
88,88,"1435 Parkview Blvd, Pittsburgh, PA 15217",2 Bed,844-564-8456,"$1,800",The Reserve at Summerset at Frick Park,"1435, Parkview Boulevard, Summerset, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4196597858361,-79.916100602411
91,91,"4500 Centre Ave, Pittsburgh, PA 15213",1-3 Bed,412-533-2310,"$964 - 1,650",One on Centre,"4500, Centre Avenue, Bellefield, North Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.451455,-79.953158
92,92,"824 Perry Hwy, Pittsburgh, PA 15229",1-2 Bed,412-365-5671,$695 - 825,Perry Highway Apartments,"Perrysville Avenue, Perry North, Ross Township, Allegheny County, Pennsylvania, 15214, USA",40.4983102,-80.0203109
93,93,"611 E Waterfront Dr, Munhall, PA 15120",1-3 Bed,412-368-9408,"$1,041 - 3,096",The Waterfront,"611, E Waterfront Drive, The Waterfront, Munhall, Allegheny County, Pennsylvania, 15120, USA",40.414013147517,-79.904473050118
99,99,"562 Oak Hill Dr, Pittsburgh, PA 15213",Townhome for Rent,,"$2,175",562 Oak Hill Dr,"Oak Hill Drive, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4432213,-79.9699101
102,102,"3076 Terrace St, Pittsburgh, PA 15213",Townhome for Rent,,"$1,525",3076 Terrace St,"3076, Terrace Street, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4399002505426,-79.9678993416437
104,104,"340 Eckstein Pl, Pittsburgh, PA 15213",Townhome for Rent,,"$2,050",340 Eckstein Pl,"Eckstein Place, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4426089,-79.9685145
109,109,"1404 Milan Ave, Pittsburgh, PA 15226",House for Rent,412-215-6748,"$1,095",1404 Milan Ave,"1404, Milan Avenue, West Liberty, Brookline, PGH, Allegheny County, Pennsylvania, 15226, USA",40.393757,-80.0092436666667
110,110,"239 Ingram Ave, Pittsburgh, PA 15205",Townhome for Rent,412-802-9142,$895,239 Ingram Ave,"239, Ingram Avenue, Fairywood, Ingram, Allegheny County, Pennsylvania, 15205, USA",40.442118,-80.0742565
111,111,"2211 Wightman St, Pittsburgh, PA 15217",Townhome for Rent,724-393-0086,"$1,650",2211 Wightman St,"Wightman Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4357578,-79.9276271
113,113,"5627 Pocusset St, Pittsburgh, PA 15217",House for Rent,412-901-3820,"$1,850",5627 Pocusset St,"Pocusset Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4293103,-79.9265896
115,115,"67 Bates St, Pittsburgh, PA 15213",House for Rent,412-489-4683,"$1,600",67 Bates St,"67, Bates Street, Oakcliffe, Central Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4390460648234,-79.9521809027649
119,119,"8 Enfield St, Pittsburgh, PA 15213",Townhome for Rent,412-444-8948,"$2,300",8 Enfield St,"Enfield Street, Bloomfield, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4532702,-79.9493274
121,121,"5413 Bossart St, Pittsburgh, PA 15206",Townhome for Rent,724-900-2045,"$1,400",5413 Bossart St,"5413, Bossart Street, Morningside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.476389,-79.9290895
122,122,"957 Lilac St, Pittsburgh, PA 15217",Townhome for Rent,412-212-3422,"$1,195",957 Lilac St,"957, Lilac Street, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4240102909038,-79.930742444802
126,126,"118 S 26th St, Pittsburgh, PA 15203",House for Rent,888-339-7795,"$1,480",118 S 26th St,"118, South 26th Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.426052,-79.969161106383
140,140,"250 37th St, Pittsburgh, PA 15201",Townhome for Rent,855-447-5928,"$1,495",250 37th St,"250, 37th Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.464975477702,-79.9633459868911
142,142,"2606 Larkins Way, Pittsburgh, PA 15203",House for Rent,412-433-0032,"$2,200",2606 Larkins Way,"2606, Larkins Way, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4260315450873,-79.9688166262747
148,148,"3552 Beechwood Blvd, Pittsburgh, PA 15217",House for Rent,412-329-4646,"$1,850",3552 Beechwood Blvd,"Beechwood Boulevard, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4278554,-79.9287067
150,150,"5413 Keystone St, Pittsburgh, PA 15201",Townhome for Rent,844-511-7084,"$1,750",5413 Keystone St,"5413, Keystone Street, Upper Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4819896945904,-79.9496180575307
154,154,"1035 McCabe St, Pittsburgh, PA 15201",House for Rent,412-357-5680,"$1,150",1035 McCabe St,"1035, McCabe Street, Stanton Heights, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4780575053052,-79.9392740983159
156,156,"5415 Bossart St, Pittsburgh, PA 15206",Townhome for Rent,412-404-6882,"$1,400",5415 Bossart St,"5415, Bossart Street, Morningside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.47634,-79.9290534
157,157,"5413 Bossart St, Pittsburgh, PA 15206",Townhome for Rent,412-205-6190,"$1,400",5413 Bossart St,"5413, Bossart Street, Morningside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.476389,-79.9290895
168,168,"103 Dilworth St, Pittsburgh, PA 15211",Condo for Rent,,"$1,540","3 br, 2 bath Apartment - 103 Dilworth St","103, Dilworth Street, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4253446500261,-80.0117219989546
171,171,"847 Flemington St, Pittsburgh, PA 15217",Condo for Rent,,$700,847 Flemington St,"847, Flemington Street, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4266508921523,-79.9342690605169
174,174,"847 Flemington St, Pittsburgh, PA 15217",Condo for Rent,,$600,847 Flemington St,"847, Flemington Street, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4266508921523,-79.9342690605169
175,175,"433 Flowers Ave, Pittsburgh, PA 15207",House for Rent,,$749,433 Flowers Ave,"433, Flowers Avenue, Glenwood, Hazelwood, PGH, Allegheny County, Pennsylvania, 15207, USA",40.4121341759822,-79.9376125874334
177,177,"5101 1/2 Lytle St, Pittsburgh, PA 15207",House for Rent,,$699,2 Bedroom/1 Bath Available in Hazelwood!!,"5101, Lytle Street, Glenwood, Hazelwood, PGH, Allegheny County, Pennsylvania, 15207, USA",40.406641,-79.945192
178,178,"214 Franklin Ave, Pittsburgh, PA 15221",House for Rent,,"$1,749","5 br, 3 bath House - 214 Franklin Ave","214, Franklin Avenue, Park Place, Point Breeze South, Wilkinsburg, Allegheny County, Pennsylvania, 15221, USA",40.4434578636364,-79.8928924545455
180,180,"729 S Negley Ave, Pittsburgh, PA 15232",Condo for Rent,,"$1,275","1 br, 1 bath  - 729 South Negley Avenue 2","729, South Negley Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.452623890209,-79.9311890653334
181,181,"220 Heinz St, Pittsburgh, PA 15212",Condo for Rent,,"$1,750",220 Heinz St,"220, Heinz Street, Troy Hill, PGH, Allegheny County, Pennsylvania, 15212, USA",40.4538585918367,-79.9907581632653
182,182,"808 Portland St, Pittsburgh, PA 15206",Condo for Rent,,$775,"1 br, 1 bath  - 808 Portland St","808, Portland Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.47175655,-79.925442298945
183,183,"1511 St Patrick St, Pittsburgh, PA 15210",Townhome for Rent,,$895,1511 St Patrick St,"1511, Saint Patrick Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15210, USA",40.4212375461546,-79.9824242846285
184,184,"353 Grace St, Pittsburgh, PA 15211",Condo for Rent,,$750,353 Grace St,"353, Grace Street, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4302656067118,-80.0117896052771
186,186,"375 Semple St, Pittsburgh, PA 15213",House for Rent,,"$2,450","5 br, 3 bath House - 375 Semple St","375, Semple Street, Oakland, Central Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4376254180768,-79.9554707239136
187,187,"5552 Beacon St, Pittsburgh, PA 15217",House for Rent,,"$1,300",5552 Beacon St,"5552, Beacon Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.433915139059,-79.9284995977775
188,188,"2660 S 18th St, Pittsburgh, PA 15210",Condo for Rent,,"$1,100","3 br, 1 bath Apartment - 2660 S 18th St","2660, South 18th Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15210, USA",40.4201224963637,-79.9869071749841
189,189,"5720 Solway St, Pittsburgh, PA 15217",Condo for Rent,,"$2,450","3 br, 2 bath Apartment - 5720 Solway","5720, Solway Street, Squirrel Hill, Squirrel Hill North, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4428386792777,-79.9249966173692
190,190,"1670 Breining St, Pittsburgh, PA 15234",Condo for Rent,,"$1,200","3 br, 1.5 bath Apartment - 1670 Breining St","1670, Breining Street, Overbrook, PGH, Allegheny County, Pennsylvania, 15234, USA",40.3885502302977,-80.003361480177
191,191,"130 S 22nd St, Pittsburgh, PA 15203",Condo for Rent,,"$1,400",130 S 22nd St,"130, South 22nd Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.426935,-79.974893
194,194,"412 William St, Pittsburgh, PA 15211",Condo for Rent,,$800,"2 br, 1 bath Apartment - 412 William St","412, William Street, Allentown, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4280740458649,-80.0034835897951
196,196,"19 Edith Pl, Pittsburgh, PA 15213",Condo for Rent,,$420,"3 br, 1 bath Apartment - 19 Edith Pl","19, Edith Place, South Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4330099835953,-79.9545796097569
197,197,"1324 Wightman St, Pittsburgh, PA 15217",House for Rent,,"$1,995","3 br, 1.5 bath House - 1324 Wightman St","Wightman Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4357578,-79.9276271
198,198,"1121 Sheffield St, Pittsburgh, PA 15233",House for Rent,,"$1,800","3 br, 2 bath House - 1121 Sheffield St","1121, Sheffield Street, Chateau, PGH, Allegheny County, Pennsylvania, 15233, USA",40.4538731888717,-80.0213787135125
