,Unnamed: 0,address,beds,phone,price,title,address_geo,latitude,longitude
199,199,"5524 Covode St, Pittsburgh, PA 15217",Condo for Rent,,"$1,195","2 br, 1 bath  - 5524 Covode St","5524, Covode Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4314452566606,-79.9297877966605
201,201,"250 37th St, Pittsburgh, PA 15201",House for Rent,,$900,"3 br, 1 bath House - 250 37th St","250, 37th Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.464975477702,-79.9633459868911
202,202,"3734 Orpwood St, Pittsburgh, PA 15213",Condo for Rent,,$400,3734 Orpwood St,"3734, Orpwood Street, South Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4296069770166,-79.9527604664162
203,203,"353 Grace St, Pittsburgh, PA 15211",Condo for Rent,,"$1,500",353 Grace St,"353, Grace Street, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4302656067118,-80.0117896052771
204,204,"2359 Tilbury Ave, Pittsburgh, PA 15217",Townhome for Rent,,"$1,149","3 br, 1 bath Duplex - 2359 Tilbury Ave 2359","2359, Tilbury Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4293706597725,-79.9180169784876
205,205,"1615 Crosby Ave, Pittsburgh, PA 15216",House for Rent,,"$1,095","3 br, 1 bath House - 1615 Crosby Ave","1615, Crosby Avenue, Beechview, PGH, Allegheny County, Pennsylvania, 15216, USA",40.4055318118067,-80.0232208268463
206,206,"6623 Ridgeville St, Pittsburgh, PA 15217",Townhome for Rent,,"$1,425",6623 Ridgeville St,"6623, Ridgeville Street, Point Breeze, Point Breeze South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4436406734303,-79.9144462162741
208,208,"5616 Callowhill St, Pittsburgh, PA 15206",Condo for Rent,,"$1,500",5616 Callowhill St,"5616, Callowhill Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4783855070835,-79.9222713169507
210,210,"5931 Walnut St, Pittsburgh, PA 15232",Condo for Rent,,"$1,575","1 br, 1 bath Apartment - 5931 Walnut St 101","5931, Walnut Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.453957,-79.926028
211,211,"5717 Howe St, Pittsburgh, PA 15232",Condo for Rent,,"$1,875","2 br, 1.5 bath Apartment - 5717 Howe St Apt 1 Unit Apt 1","5717, Howe Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4514792031417,-79.9298486864368
212,212,"5855 Darlington Rd, Pittsburgh, PA 15217",Condo for Rent,,"$1,025",5855 Darlington Rd,"5855, Darlington Road, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4371296949923,-79.9209166702104
214,214,"827 S Braddock Ave, Pittsburgh, PA 15221",Condo for Rent,,"$1,495",827 S Braddock Ave,"827, South Braddock Avenue, Park Place, Regent Square, Swissvale, Allegheny County, Pennsylvania, 15221, USA",40.436562245863,-79.8961806885078
215,215,"1401 N St Clair St, Pittsburgh, PA 15206",Condo for Rent,,"$1,195",1401 N St Clair St,"1401, North Saint Clair Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4778535,-79.9198669
216,216,"2322 E Carson St, Pittsburgh, PA 15203",Condo for Rent,,"$1,350",2322 E Carson St,"2322, East Carson Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.42809155,-79.9719483293627
219,219,"3946 Winterburn Ave, Pittsburgh, PA 15207",House for Rent,,"$1,150",3946 Winterburn Ave,"3946, Winterburn Avenue, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15207, USA",40.4264985882353,-79.9398899411765
220,220,"4525 Friendship Ave, Pittsburgh, PA 15224",House for Rent,,"$1,249",4525 Friendship Ave,"4525, Friendship Avenue, Bloomfield, PGH, Allegheny County, Pennsylvania, 15224, USA",40.465625,-79.951723
222,222,"5441 Potter St, Pittsburgh, PA 15232",House for Rent,,"$2,300",5441 Potter St,"5441, Potter Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4544803649936,-79.9362121183391
224,224,"120 Prospect St, Pittsburgh, PA 15211",3 Bed,,"$1,500",Stunning 3 Bed/2 Bathroom with Amazing Views! Unit B,"120, Prospect Street, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4285953506284,-80.0094724801429
225,225,"5535 Wellesley Ave, Pittsburgh, PA 15206",House for Rent,,"$1,350",5535 Wellesley Ave,"5535, Wellesley Avenue, Morningside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4745943170355,-79.9266142529333
226,226,"3030 Merwyn Ave, Pittsburgh, PA 15204",House for Rent,,$695,3030 Merwyn Ave,"3030, Merwyn Avenue, Corliss, Sheraden, PGH, Allegheny County, Pennsylvania, 15204, USA",40.457698536208,-80.052375002695
227,227,"184 41st St, Pittsburgh, PA 15201",Townhome for Rent,,"$1,350","3 br, 2 bath Townhome - 184 41st Street","184, 41st Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4699390289523,-79.9620782665378
230,230,"3028 Merwyn Ave, Pittsburgh, PA 15204",House for Rent,,$695,3028 Merwyn Ave,"3028, Merwyn Avenue, Corliss, Sheraden, PGH, Allegheny County, Pennsylvania, 15204, USA",40.4576685816727,-80.0523469203181
233,233,"1025 Farragut St, Pittsburgh, PA 15206",Condo for Rent,,$995,"3 br, 1 bath  - 1025 Farragut St Apt 2 Unit Apt 2","1025, Farragut Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4730487,-79.9183448
236,236,"7108 Baker St, Pittsburgh, PA 15206",House for Rent,,"$1,200","3 br, 1 bath House - 7108 Baker St","7108, Baker Street, Morningside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4878648544287,-79.9240060774827
238,238,"3532 Brighton Rd, Pittsburgh, PA 15212",Condo for Rent,,$900,"2 br, 1 bath Apartment - 3532 Brighton Rd","3532, Brighton Road, Brighton Heights, PGH, Allegheny County, Pennsylvania, 15214, USA",40.4802553,-80.0312516029412
241,241,"3015 Josephine St, Pittsburgh, PA 15203",House for Rent,,"$1,095","2 br, 2 bath House - 3015 Josephine St","3015, Josephine Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15203, USA",40.422293,-79.965507
243,243,"5746 Howe St, Pittsburgh, PA 15232",Condo for Rent,,"$1,050",5746 Howe St,"5746, Howe Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4515954627758,-79.9289009624023
244,244,"569 Loretto Rd, Pittsburgh, PA 15217",House for Rent,,"$1,075","2 br, 1 bath House - 569 Loretto Road","569, Loretto Road, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4210874781703,-79.9378497089407
245,245,"2001 Boulevard of the Allies, Pittsburgh, PA 15219",Townhome for Rent,,$800,2001 Boulevard of the Allies,"2001, Boulevard of the Allies, Soho, Bluff, PGH, Allegheny County, Pennsylvania, 15219, USA",40.436352,-79.977663
250,250,"3837 Hiawatha St, Pittsburgh, PA 15212",House for Rent,,"$1,000",3 Bedroom Northside House with Huge Yard,"3837, Hiawatha Street, Brighton Heights, PGH, Allegheny County, Pennsylvania, 15212, USA",40.4836723742029,-80.0440614519036
251,251,"2402 Cobden St, Pittsburgh, PA 15203",House for Rent,,"$1,225","4 br, 2 bath House - 2402 Cobden St","2402, Cobden Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4200786781348,-79.9722555012438
252,252,"351 S Atlantic Ave, Pittsburgh, PA 15224",Condo for Rent,,"$1,095","2 br, 1 bath  - 351 S Atlantic Ave 1","351, South Atlantic Avenue, Garfield, PGH, Allegheny County, Pennsylvania, 15224, USA",40.4608109511915,-79.9390079829641
253,253,"1027 Macon Ave, Pittsburgh, PA 15218",Condo for Rent,,"$1,200","2 br, 1 bath Apartment - 1027 Macon Ave","1027, Macon Avenue, Regent Square, Swissvale, Allegheny County, Pennsylvania, 15218, USA",40.4325616910683,-79.8975752551637
254,254,"105 Shadyhill Rd, Pittsburgh, PA 15205",House for Rent,,"$1,200","1 br, 1 bath House - 105 Shadyhill Rd","105, Shadyhill Road, Westwood, PGH, Allegheny County, Pennsylvania, 15205, USA",40.4351444781443,-80.0486244505717
255,255,"101 Shadyhill Rd, Pittsburgh, PA 15205",House for Rent,,"$1,950","5 br, 3 bath House - 101 Shadyhill Rd","101, Shadyhill Road, Westwood, PGH, Allegheny County, Pennsylvania, 15205, USA",40.4351501593814,-80.0486254835239
259,259,"69 Allen St, Pittsburgh, PA 15210",House for Rent,,"$1,299","5 br, 3 bath House - 69 Allen","69, Allen Street, Allentown, PGH, Allegheny County, Pennsylvania, 15210, USA",40.4214592857143,-79.9938377142857
260,260,"144 44th St, Pittsburgh, PA 15201",House for Rent,,"$1,950","4 br, 2 bath House - 144 44th St","144, 44th Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.472604,-79.961527
261,261,"430 Brownsville Rd, Pittsburgh, PA 15210",Condo for Rent,,$650,430 Brownsville,"430, Brownsville Road, Carrick, Brentwood, Allegheny County, Pennsylvania, 15210, USA",40.4126074849868,-79.9893982250094
262,262,"827 S Braddock Ave, Pittsburgh, PA 15221",Condo for Rent,,"$1,495",827 S Braddock Ave,"827, South Braddock Avenue, Park Place, Regent Square, Swissvale, Allegheny County, Pennsylvania, 15221, USA",40.436562245863,-79.8961806885078
264,264,"2412 Cobden St, Pittsburgh, PA 15203",House for Rent,,"$1,175","3 br, 2.5 bath House - 2412 Cobden St","2412, Cobden Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4200620688085,-79.9721330074626
265,265,"68 Gregory St, Pittsburgh, PA 15203",House for Rent,,"$1,000","3 br, 1 bath House - 68 Gregory St","68, Gregory Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4237763125,-79.9791701875
266,266,"6635 Ridgeville St, Pittsburgh, PA 15217",Townhome for Rent,,"$1,485",6635 Ridgeville St,"6635, Ridgeville Street, Point Breeze, Point Breeze South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4437002489939,-79.9141038406583
267,267,"7225 Meade St, Pittsburgh, PA 15208",Condo for Rent,,"$1,275",7225 Meade St,"7225, Meade Street, Homewood, Point Breeze North, PGH, Allegheny County, Pennsylvania, 15208, USA",40.4499691386812,-79.9002107286755
268,268,"302 S Negley Ave, Pittsburgh, PA 15232",Condo for Rent,,"$1,495",302 S Negley Ave,"302, South Negley Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4604816,-79.9328234
269,269,"310 Amber St, Pittsburgh, PA 15206",Condo for Rent,,$995,310 Amber St,"310, Amber Street, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4601287960364,-79.931661471882
270,270,"2325-2327 Eldridge St, Pittsburgh, PA 15217",Condo for Rent,,$950,2325-2327 Eldridge St,"2325, Eldridge Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4309441352852,-79.9223073403025
273,273,"2325-2327 Eldridge St, Pittsburgh, PA 15217",Condo for Rent,,$995,2325-2327 Eldridge St,"2325, Eldridge Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4309441352852,-79.9223073403025
276,276,"917 Excelsior St, Pittsburgh, PA 15210",House for Rent,,$950,"2 br, 1 bath House - 917 Excelsior","917, Excelsior Street, Allentown, PGH, Allegheny County, Pennsylvania, 15210, USA",40.4230041956585,-79.9916143687619
278,278,"3344 Beechwood Blvd, Pittsburgh, PA 15217",House for Rent,,"$2,100","6 br, 2.5 bath House - 3344 Beechwood Blvd","Beechwood Boulevard, Four Mile Run, Greenfield, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4278554,-79.9287067
283,283,"2437 Edgar St, Pittsburgh, PA 15210",House for Rent,,$895,"4 br, 1 bath House - 2437 Edgar Street","2437, Edgar Street, Carrick, PGH, Allegheny County, Pennsylvania, 15210, USA",40.3863100930043,-79.9830996321279
284,284,"526 Penn Ave, Pittsburgh, PA 15222",1-2 Bed,,"$1,300 - 1,995",526 Penn Avenue,"526, Penn Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4424831085395,-80.0028093731617
285,285,"908 Penn Ave, Pittsburgh, PA 15222",1-2 Bed,,"$1,195 - 1,595",908 Penn Avenue,"908, Penn Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.443770476074,-79.9978979678497
286,286,"915 Penn Ave, Pittsburgh, PA 15222",1-2 Bed,,"$1,195 - 2,000",The Penn Garrison Lofts,"915, Penn Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4439772555539,-79.9977726883731
287,287,"5562 Hobart St, Pittsburgh, PA 15217",1-2 Bed,,"$1,050 - 1,510",Wendover,"5562, Hobart Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4321571,-79.9286000536155
289,289,"4840 Harrison St, Pittsburgh, PA 15201",2 Bed,,"$1,850",Locomotive Lofts,"4840, Harrison Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4774840824221,-79.958981457782
291,291,"3080 Smallman St, Pittsburgh, PA 15201",2 Bed,,"$1,800",31st Street Lofts,"3080, Smallman Street, Strip District, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4601937137624,-79.9724587695049
294,294,"125 N Saint Clair St, Pittsburgh, PA 15206",1 Bed,,$853 - 950,Penn Manor Apartments,"125, N St Clair Street, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.463074799055,-79.9287914850612
296,296,"McKees Rocks, PA 15136",Condo for Rent,,$750,414 Ella St,"McKees Rocks, Allegheny County, Pennsylvania, 151363, USA",40.4656244,-80.0656106
297,297,"3705 Main St, Munhall, PA 15120",Condo for Rent,,$650,3705 Main St,"3705, Main Street, Munhall, Allegheny County, Pennsylvania, 15120, USA",40.3844008456927,-79.9036601034257
298,298,"325 Johnston Rd, Penn Hills, PA 15235",House for Rent,,$999,"2 br, 1 bath House - 325 Johnston Rd","325, Johnston Road, Laketon Heights, Penn Hills, Allegheny County, Pennsylvania, 15235, USA",40.4661158105477,-79.856304328796
300,300,"West Mifflin, PA 15122",House for Rent,,$850,437 Bellwood Rd,"West Mifflin, Allegheny County, Pennsylvania, USA",40.3634026,-79.8664375
301,301,"369 Questend Ave, Mount Lebanon, PA 15228",Townhome for Rent,,"$1,450","3 br, 1.5 bath Townhome - 369 Questend Ave","369, Questend Avenue, Mount Lebanon, Allegheny County, Pennsylvania, 15228, USA",40.3763176,-80.0322413
302,302,"233 Clearview Ave, Crafton, PA 15205",House for Rent,,"$1,150","3 br, 1 bath House - 233 Clearview Ave","233, Clearview Avenue, Crafton, Allegheny County, Pennsylvania, 15205, USA",40.4364924403257,-80.0595407843608
304,304,"3545 York St, Munhall, PA 15120",House for Rent,,"$1,100","3 br, 1 bath House - 3545 York St","3545, York Street, Munhall, Allegheny County, Pennsylvania, 15120, USA",40.3862297224141,-79.9110829600855
305,305,"3310 Jameson Dr, Brentwood, PA 15227",3 Bed,,$725,Brentwood Townhomes,"3310, Jameson Drive, Brentwood, Allegheny County, Pennsylvania, 15227, USA",40.3746193420742,-79.9841931715588
306,306,"405-419 S Braddock Ave, Pittsburgh, PA 15221",,,,Heidelberg,"405, South Braddock Avenue, Park Place, Point Breeze South, PGH, Allegheny County, Pennsylvania, 15221, USA",40.4443926504514,-79.8961384158483
307,307,"1088 Greentree Rd, Pittsburgh, PA 15220",,,,Greentree Manor,"Greentree Road, West End, PGH, Allegheny County, Pennsylvania, 15220, USA",40.4347039,-80.0351135
313,313,"176-178 W Prospect Ave, Pittsburgh, PA 15205",,,,Comfort Arms,"176, West Prospect Avenue, Fairywood, Ingram, Allegheny County, Pennsylvania, 15205, USA",40.4478035856242,-80.0724685636319
314,314,"118 Maple Ave, Pittsburgh, PA 15218",,,,118 Maple Ave,"Maple Avenue, Perry Hilltop, Perry South, PGH, Allegheny County, Pennsylvania, 15214, USA",40.4711967,-80.0079203
315,315,"1592 Crucible St, Pittsburgh, PA 15205",,,,Crafton Heights Townhomes,"Crucible Street, Crafton Heights, PGH, Allegheny County, Pennsylvania, 15205, USA",40.4460984,-80.045764
316,316,"909 Penn Ave, Pittsburgh, PA 15222",,,,Lando Lofts,"909, Penn Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.443926622223,-79.9979674058135
317,317,"1655 5th Ave, Pittsburgh, PA 15219",,,,Flats on Fifth,"Fifth Avenue, Bellefield, North Oakland, PGH, Allegheny County, Pennsylvania, 15213-3704, USA",40.4470102,-79.9485357
318,318,"5836 Penn Ave, Pittsburgh, PA 15206",,,,East Liberty Place South,"5836, Penn Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4622815380837,-79.9274694786974
319,319,"115 N Beatty St, Pittsburgh, PA 15206",,,,East Liberty Place North,"115, North Beatty Street, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4627852040816,-79.9263158877551
320,320,"2217 E Carson St, Pittsburgh, PA 15203",,,,Carson Towers,"2217, East Carson Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4282677804878,-79.9734529756098
321,321,"200 Cowan St, Pittsburgh, PA 15211",,,,Lofts of Mt. Washington,"Cowan Street, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4274797,-80.0095876
322,322,"149 Hazelwood Ave, Pittsburgh, PA 15207",,,,Hazelwood,"149, Hazelwood Avenue, Glenwood, Hazelwood, PGH, Allegheny County, Pennsylvania, 15207, USA",40.411763,-79.942679
327,327,"600 Kelly Ave, Pittsburgh, PA 15221",,,,Village Square,"Kelly Avenue, Park Place, Point Breeze South, Wilkinsburg, Allegheny County, Pennsylvania, 15221, USA",40.4412318,-79.8933535
328,328,"5601 Penn Ave, Pittsburgh, PA 15206",,,,New Pennley Place,"5601, Penn Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4635333,-79.9296606
329,329,"41 Allegheny Ave, Pittsburgh, PA 15212",,,,The Rivers Edge of Oakmont,"Allegheny Avenue, Chateau, PGH, Allegheny County, Pennsylvania, 14233, USA",40.4486445,-80.0179887
331,331,"2829 Bedford Ave, Pittsburgh, PA 15219",,,,Christopher A. Smith Terrace Senior Living,"2829, Bedford Avenue, Bedford Dwellings, PGH, Allegheny County, Pennsylvania, 15219, USA",40.452475648225,-79.9685415434696
333,333,"4646 Friendship Ave, Pittsburgh, PA 15224",,,,Noodle Factory,"4646, Friendship Avenue, Bloomfield, PGH, Allegheny County, Pennsylvania, 15224, USA",40.4636312222222,-79.9492627407407
335,335,"711 S 21st St, Pittsburgh, PA 15203",,,,The Brew House,"South 21st Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4294246,-79.9761522
336,336,"111 Tecumseh St, Pittsburgh, PA 15207",,,,Hazelwood Towers,"111, Tecumseh Street, Glenwood, Hazelwood, PGH, Allegheny County, Pennsylvania, 15207, USA",40.4087874607817,-79.9429796601662
337,337,"5461 Penn Ave, Pittsburgh, PA 15206",,,,Fairmont Apartments,"5461, Penn Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15206, USA",40.464609,-79.93371
338,338,"900 Penn Ave, Pittsburgh, PA 15222",,,,900 Penn,"900, Penn Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.443703,-79.998158
339,339,"420 Dinwiddie St, Pittsburgh, PA 15219",,,,Ebenezer Tower,"420, Dinwiddie Street, Crawford-Roberts, PGH, Allegheny County, Pennsylvania, 15219, USA",40.4426723935555,-79.9803470033349
341,341,"1926 Pauline Ave, Pittsburgh, PA 15216",,,,Beechview Manor,"1926, Pauline Avenue, Beechview, PGH, Allegheny County, Pennsylvania, 15216, USA",40.4057394,-80.026792
343,343,"5500 Elmer St, Pittsburgh, PA 15232",,,,5500 & 5508 Elmer Street Properties,"5500, Elmer Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.452437,-79.934422
344,344,"809 College St, Pittsburgh, PA 15232",,,,809 College St,"809, College Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4532983276133,-79.926913996568
346,346,"205 Robinson St, Pittsburgh, PA 15213",,,,205 Robinson St,"205, Robinson Street, West Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4405351666667,-79.96567375
347,347,"151 Robinson St, Pittsburgh, PA 15213",,,,151 Robinson St,"151, Robinson Street, West Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.439148,-79.96557
348,348,"5629 Beacon St, Pittsburgh, PA 15217",,,,Beacon Commons,"5629, Beacon Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4343310810552,-79.9267283901562
349,349,"5560 Forbes Ave, Pittsburgh, PA 15217",,,,Walnut on Wightman,"5560, Forbes Avenue, Squirrel Hill, Squirrel Hill North, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4378803017694,-79.9289126257741
350,350,"5326 Pocusset St, Pittsburgh, PA 15217",,,,Walnut on the Park,"Walnut on the Park, 5326, Pocusset Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4297985,-79.9314630885931
351,351,"5644 Hempstead Rd, Pittsburgh, PA 15217",,,,5644 Hempstead Road,"5644, Hempstead Road, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4320085361293,-79.9266552081881
352,352,"5615-5645 Hempstead Rd, Pittsburgh, PA 15217",,,,Hempstead Properties,"5615, Hempstead Road, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.431835110636,-79.9271372785379
353,353,"2129-2135 Wightman, Pittsburgh, PA 15217",,,,Wightman Street Apartments,"Wightman Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4357578,-79.9276271
355,355,"5636 Forbes Ave, Pittsburgh, PA 15217",,,,5636 Forbes Ave,"5636, Forbes Avenue, Squirrel Hill, Squirrel Hill North, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4379919996424,-79.9262552470949
356,356,"106 15th St, Pittsburgh, PA 15229",,,,Laurel Ridge,"15th Street, Strip District, PGH, Allegheny County, Pennsylvania, 15219, USA",40.4493719,-79.9901086
357,357,"201 Center St, Pittsburgh, PA 15221",,,,201 Center Ave,"201, Center Street, East Pittsburgh, Allegheny County, Pennsylvania, 15112, USA",40.3961916168273,-79.8440602119042
360,360,"710 W North Ave, Pittsburgh, PA 15212",,,,West Park Court,"West Park Court, 710, West North Avenue, Central Northside, PGH, Allegheny County, Pennsylvania, 15233, USA",40.45435765,-80.0142269906487
361,361,"2948 Brownsville Rd, Pittsburgh, PA 15227",,,,Hillcrest Senior Residences,"Brownsville Road, Carrick, Brentwood, Allegheny County, Pennsylvania, 15210:15227, USA",40.386906,-79.982737
362,362,"972 Perry Hwy, Pittsburgh, PA 15237",,,,Marlett Arms,"Perrysville Avenue, Perry North, Ross Township, Allegheny County, Pennsylvania, 15214, USA",40.4983102,-80.0203109
368,368,"25 Hawley Ave, Bellevue, PA 15202",,,,Bellevue Gables,"Bellevue Gables Apartments, 25, Hawley Avenue, Bellevue, Allegheny County, Pennsylvania, 15202, USA",40.49737095,-80.0564091
369,369,"901 Gray St, Mckees Rocks, PA 15136",,,,Meyers Ridge,"Meyers Ridge, 901, Gray Street, McKees Rocks Bottoms, McKees Rocks, Allegheny County, Pennsylvania, 15136, USA",40.46938175,-80.0654100145931
370,370,"37 Washington Ave, Bellevue, PA 15202",,,,Bellevue Apartments,"37, Washington Avenue, Bellevue, Allegheny County, Pennsylvania, 15202, USA",40.4887405416667,-80.0474748229167
371,371,"5559 Hobart St, Pittsburgh, PA 15217",,,,Hobart Court,"5559, Hobart Street, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4326060860967,-79.9283063553079
