,address,beds,phone,price,title,address_geo,latitude,longitude,lat_rad,long_rad,parkScore,restaurantScore,serviceScore,newRestaurantScore,newParkScore,newServiceScore
0,"401 Amberson Ave, Pittsburgh, PA 15232",1-2 Bed,412-208-4328,"$1,395 - 1,860",Shadyside Commons,"401, Amberson Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.453782,-79.941287125,0.7060516907840166,-1.3952386686134017,[10.64523382],[11.29679308],[10.87999759],98,86,99
1,"1876 Parkview Blvd, Pittsburgh, PA 15217",1-2 Bed,844-228-9323,"$1,390 - 2,050",The Gateway at Summerset,"Parkview Boulevard, Summerset, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4158874,-79.9209462,0.7053903052452906,-1.3948836524992505,[10.7317424],[11.11124682],[10.79197245],85,98,87
2,"6350 Penn Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-814-2588,"$1,740 - 3,080",Bakery Living Orange,"6350, Penn Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4587677867345,-79.9191243438661,0.706138709178336,-1.3948518551112163,[10.57583631],[11.22084229],[10.86691797],93,77,97
3,"4107 Willow St, Pittsburgh, PA 15201",Studio - 2 Bed,412-437-2173,"$1,313 - 3,128",The Foundry at 41st,"The Foundry at 41st, 4107, Willow Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.47214545,-79.9640967542301,0.7063721934485421,-1.395636771744626,[10.48973614],[11.21895582],[10.80928034],93,66,89
4,"1100 Liberty Ave, Pittsburgh, PA 15222",Studio - 2 Bed,866-350-8444,"$1,203 - 2,879",The Pennsylvanian,"Pittsburgh Union Station, 1100, Liberty Avenue, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.44519175,-79.991439299587,0.7059017626379472,-1.39611398918698,[10.62105927],[11.23519026],[10.78969465],94,83,87
5,"300 Heinz St, Pittsburgh, PA 15212",1-3 Bed,412-847-5081,"$1,195 - 3,725",Heinz Lofts,"300, Heinz Street, Troy Hill, PGH, Allegheny County, Pennsylvania, 15212, USA",40.454095,-79.991096,0.7060571536645756,-1.396107997478866,[10.58482737],[11.2203221],[10.7903925],93,78,87
6,"5522 Baum Blvd, Pittsburgh, PA 15232",Studio - 3 Bed,844-762-5514,"$952 - 3,042",Ollie at Baumhaus,"Ollie at Baumhaus, 5522, Baum Boulevard, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4573252,-79.9363714977744,0.7061135312900734,-1.3951528747335145,[10.61504026],[11.28004006],[10.87516659],97,82,98
7,"3922 Foster St, Pittsburgh, PA 15201",Studio - 3 Bed,844-831-9422,"$995 - 3,080",Arsenal 201,"Foster Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4699532,-79.9635357,0.7063339314680153,-1.3956269795010285,[10.5116604],[11.23389637],[10.81960527],94,69,91
8,"26 S 28th St, Pittsburgh, PA 15203",1-2 Bed,844-430-5599,"$995 - 1,374",Live South Side,"26, South 28th Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4257671518772,-79.9664264630501,0.7055627394448277,-1.395677432834148,[10.71747821],[11.26624101],[10.81786027],96,96,91
9,"2501 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-437-2361,"$1,395 - 2,455",The Brake House Lofts,"Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4413713,-80.0040507,0.7058350832065394,-1.396334099647474,[10.58438875],[11.17247982],[10.73201529],89,78,79
10,"2349 Railroad St, Pittsburgh, PA 15222",1-3 Bed,866-626-1231,"$1,635 - 7,898",The Cork Factory Lofts,"Bridgestreet at The Cork Factory, 2349, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4548656,-79.9827251168269,0.7060706031717913,-1.3959618980061956,[10.60234018],[11.2524769],[10.81715756],95,81,91
11,"475 Garner Ct, Pittsburgh, PA 15213",1-3 Bed,844-209-9199,"$1,095 - 2,175",Oak Hill Apartments,"475, Garner Court, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4423354288569,-79.9704125966193,0.7058519104295059,-1.3957470039893547,[10.68402381],[11.30117839],[10.84798811],99,91,95
12,"651 Oaklynn Ct, Pittsburgh, PA 15220",Studio - 3 Bed,412-253-4242,"$730 - 1,490",Crane Village Apartments,"651, Oaklynn Court, Crane Village, Banksville, PGH, Allegheny County, Pennsylvania, 15220, USA",40.4154684725044,-80.0335259392946,0.7053829935811652,-1.3968485396209782,[10.42389868],[10.91081612],[10.47222249],70,57,43
13,"717 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-223-9839,"$1,250 - 1,995",The Clark Building,"717, Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4425722827309,-79.999693523422,0.7058560443094533,-1.3962580525700972,[10.59925491],[11.19642489],[10.75366737],91,80,82
14,"611 William Penn Pl, Pittsburgh, PA 15219",1-3 Bed,412-620-6372,"$1,250 - 2,300",The Residences at the Historic Alcoa Building,"611, William Penn Place, Downtown, PGH, Allegheny County, Pennsylvania, 15219, USA",40.4412988133289,-79.9967525189058,0.705833818075465,-1.3962067223579735,[10.61356165],[11.2119082],[10.76483745],92,82,83
15,"2400 Village Rd, Pittsburgh, PA 15205",1-3 Bed,412-533-5758,"$875 - 1,220",Emerald Gardens,"Village Road, Emerald Gardens, Fairywood, PGH, Allegheny County, Pennsylvania, 15205, USA",40.4487196,-80.0770864,0.7059633352359637,-1.397608813083973,[10.05501844],[10.4236378],[10.15103269],35,9,0
16,"272 Shady Ave, Pittsburgh, PA 15206",1-3 Bed,844-823-6344,"$985 - 2,235","Franklin West Apartments, Leasing Office","272, Shady Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.45727845,-79.9226354993343,0.7061127153486481,-1.3949131363346858,[10.59588872],[11.23872847],[10.87198385],94,80,98
17,"275 Oakville Dr, Pittsburgh, PA 15220",Studio - 3 Bed,844-829-9060,"$695 - 1,215",Hyland Hills Apartments,"Oakville Drive, Hyland Hills Apartments, Banksville, PGH, Allegheny County, Pennsylvania, 15220, USA",40.4191147,-80.0358489,0.7054466322562402,-1.396889082933682,[10.41413848],[10.90451695],[10.46962949],70,56,43
18,"400 5th Ave, Pittsburgh, PA 15219",Studio - 2 Bed,844-459-8552,"$1,153 - 2,501",Kaufmann's Grand on Fifth Avenue,"Fifth Avenue, Bellefield, North Oakland, PGH, Allegheny County, Pennsylvania, 15213-3704, USA",40.4470102,-79.9485357,0.7059335005777302,-1.3953651801132294,[10.68718523],[11.31215909],[10.88005701],100,92,99
19,"3030 S Water St, Pittsburgh, PA 15203",1 Bed,412-923-4675,"$1,400 - 1,600",3030 South Water Apartments,"South Water Street, SouthSide Works, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203-2275, USA",40.4279919,-79.9639442,0.7056015686245982,-1.3956341091710232,[10.7220556],[11.27735401],[10.82941047],97,96,92
20,"6105 Spirit St, Pittsburgh, PA 15206",Studio - 2 Bed,877-623-8306,"$1,466 - 7,003",Eastside Bond,"Eastside Bond Building B, 6105, Spirit Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.46002785,-79.923256625209,0.7061607014311024,-1.3949239770262687,[10.57284339],[11.23396019],[10.8658308],94,77,97
21,"5250 Liberty Ave, Pittsburgh, PA 15224",Studio - 3 Bed,844-857-3737,"$1,165 - 3,605",Morrow Park City Apartments,"5250, Liberty Avenue, Bloomfield, PGH, Allegheny County, Pennsylvania, 15224, USA",40.4568708337938,-79.9402810994,0.7061056011037654,-1.3952211101543224,[10.62187518],[11.28865013],[10.87564203],98,83,99
22,"2645 Railroad St, Pittsburgh, PA 15222",Studio - 2 Bed,844-750-1008,"$1,240 - 2,365",The Yards at 3 Crossings,"2645, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.456786910888,-79.9794936168839,0.7061041363727414,-1.3959054976924123,[10.59793638],[11.25764451],[10.82388949],96,80,91
23,"1420 Centre Ave, Pittsburgh, PA 15219",Studio - 2 Bed,412-532-1007,"$1,004 - 2,610",City View,"City View, 1420, Centre Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15232, USA",40.44040115,-79.9865252230886,0.7058181508948013,-1.396028222372388,[10.65018728],[11.25608452],[10.80215154],95,87,89
24,"10 Allegheny Ctr, Pittsburgh, PA 15212",Studio - 2 Bed,412-253-4253,"$860 - 2,975",Park View Apartments,"Allegheny Center, PGH, Allegheny County, Pennsylvania, USA",40.4529367,-80.0063438,0.7060369375158496,-1.3963741217925516,[10.5372853],[11.13964618],[10.72593383],87,72,78
25,"1800 Fifth Ave, Pittsburgh, PA 15219",2-3 Bed,844-202-0680,"$1,600 - 2,200",Fifth Avenue School Lofts,"1800, Fifth Avenue, Soho, Bluff, PGH, Allegheny County, Pennsylvania, 15219, USA",40.438297,-79.98121,0.7057814265493454,-1.3959354542290139,[10.67029168],[11.27231606],[10.81555656],97,90,90
26,"100 7th St, Pittsburgh, PA 15222",1-2 Bed,888-843-1690,"$1,446 - 4,632",The Encore on 7th Apartments,"Bridgestreet The Encore on 7th, 100, 7th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.44414865,-80.0009956910752,0.7058835571085198,-1.3962807796830587,[10.58994846],[11.18833258],[10.74939168],90,79,81
27,"4101 Bigelow Blvd, Pittsburgh, PA 15213",1-2 Bed,412-307-7720,"$1,050 - 2,450",Schenley Apartments,"4101, Bigelow Boulevard, North Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.450834,-79.954848,0.7060002384776679,-1.395475350531603,[10.66403681],[11.31182195],[10.87413805],99,89,98
28,"201 Stanwix St, Pittsburgh, PA 15222",1-2 Bed,844-222-1998,"$1,150 - 1,995",201 Stanwix Street Apartments,"Bell Telephone Company of Pennsylvania Western Headquarters Building, 201, Stanwix Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4400767,-80.0050858548482,0.7058124881740431,-1.3963521665078433,[10.58262602],[11.16659468],[10.72513826],89,78,78
29,"2404 Railroad St, Pittsburgh, PA 15222",Studio - 2 Bed,412-567-4141,"$1,242 - 2,316",Lot 24 Apartments,"2404, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4547825317453,-79.982086957673,0.706069153357243,-1.3959507600278085,[10.60424135],[11.25498772],[10.81910433],95,81,91
30,"5746 Howe St, Pittsburgh, PA 15232",Condo for Rent,,"$1,050",5746 Howe St,"5746, Howe Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4515954627758,-79.9289009624023,0.706013528510237,-1.3950224892943845,[10.64935404],[11.26992537],[10.88219496],96,87,99
31,"211 Forbes Ave, Pittsburgh, PA 15222",Studio - 2 Bed,844-885-7665,"$1,375 - 3,725",Market Square Place,"211, Forbes Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4405741491484,-80.0018870330785,0.7058211702995439,-1.3962963365357777,[10.59511632],[11.18493447],[10.74116857],90,80,80
32,"130 7th St, Pittsburgh, PA 15222",2 Bed,844-586-2302,"$1,725 - 1,750",Century Building,"130, 7th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4440730135247,-80.0007571580619,0.7058822370029911,-1.3962766164966018,[10.59109886],[11.18971474],[10.75040619],91,79,81
33,"3459 Butler St, Pittsburgh, PA 15201",2 Bed,412-253-2202,"$1,900 - 2,440",Doughboy Square Apartments,"3459, Butler Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4634539132545,-79.9667907000724,0.7062204975152749,-1.3956837899694445,[10.56797562],[11.26348265],[10.83731456],96,76,93
34,"300 Liberty Ave, Pittsburgh, PA 15222",Studio - 3 Bed,412-345-8286,"$1,330 - 5,995",River Vue,"Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4413713,-80.0040507,0.7058350832065394,-1.396334099647474,[10.58438875],[11.17247982],[10.73201529],89,78,79
35,"3010 Jane St, Pittsburgh, PA 15203",2 Bed,412-923-4743,"$2,000",Print Shop Lofts,"3010, Jane Street, Billy Buck Hill, South Side Slopes, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4232933574971,-79.9648674630189,0.7055195635878777,-1.3956502231505648,[10.71933972],[11.25563743],[10.81159106],95,96,90
36,"2633 Fifth Ave, Pittsburgh, PA 15213",1-2 Bed,844-280-5364,"$1,300 - 1,900",Portal Place,"2633, Fifth Avenue, West Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4368926123739,-79.9659894651514,0.7057569153612957,-1.3956698057819912,[10.7071209],[11.30146047],[10.8485665],99,94,95
37,"121 7th St, Pittsburgh, PA 15222",2 Bed,844-723-3301,"$2,500 - 2,575",Aria Cultural District Lofts,"121, 7th Street, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4441403879374,-80.000940310841,0.7058834129083243,-1.3962798131156313,[10.59018989],[11.18864663],[10.74963595],91,79,81
38,"841 California Ave, Pittsburgh, PA 15202",Studio - 2 Bed,412-368-9413,"$840 - 1,651",Avalon Arms Apartments,"Letter Carriers Building, 841, California Avenue, California-Kirkbride, PGH, Allegheny County, Pennsylvania, 15214, USA",40.45932865,-80.01801785,0.7061484980889725,-1.3965778724020943,[10.45625073],[11.0316368],[10.6569333],79,62,69
39,"100 Anderson St, Pittsburgh, PA 15212",1-2 Bed,888-353-5443,"$1,594 - 3,188",North Shore Apartments,"100, Anderson Street, North Shore, PGH, Allegheny County, Pennsylvania, 15212, USA",40.448203,-80.000384,0.705954318865048,-1.3962701036597913,[10.57934558],[11.1865399],[10.75445088],90,78,82
40,"7070 Forward Ave, Pittsburgh, PA 15217",1-2 Bed,412-206-5629,"$1,119 - 1,995",Walnut Towers at Frick Park,"Forward Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4281986,-79.9266156,0.7056051762201621,-1.3949826021958631,[10.74067395],[11.21530892],[10.84902906],92,99,95
41,"121 S Highland Ave, Pittsburgh, PA 15206",Studio - 3 Bed,412-308-5384,"$1,522 - 3,187",Walnut on Highland,"Highland Building, 121, South Highland Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.46069975,-79.9247449470533,0.7061724282983466,-1.3949499531427811,[10.56947298],[11.23734264],[10.8646827],94,76,97
42,"2915 Sidney St, Pittsburgh, PA 15203",Studio - 2 Bed,412-419-1366,"$1,656 - 3,521",Hot Metal Flats,"Sidney Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4291106,-79.9709027,0.7056210936229402,-1.395755557907023,[10.70771586],[11.27433164],[10.81994007],97,94,91
43,"5765 Centre Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-845-4811,"$1,297 - 1,620",Coda on Centre,"5765, Centre Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4581649633394,-79.9313172158883,0.7061281879252834,-1.395064660873278,[10.60232458],[11.26542822],[10.87297671],96,81,98
44,"6201 Broad St, Pittsburgh, PA 15206",1-2 Bed,844-503-5881,"$699 - 1,225",Fairfield Apartments,"6201, Broad Street, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4616952,-79.9216899,0.7061898021783856,-1.3948966325128977,[10.55407616],[11.22272699],[10.86034869],93,74,96
45,"1411 Grandview Ave, Pittsburgh, PA 15211",1-2 Bed,877-340-0934,"$1,049 - 2,120",Grandview Pointe Apartments,"1411, Grandview Avenue, Duquesne Heights, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4389611214887,-80.0209921332631,0.7057930176559565,-1.3966297834379222,[10.5060901],[11.05801322],[10.63369193],81,68,65
46,"1001 N Negley Ave, Pittsburgh, PA 15206",1-2 Bed,412-436-5519,"$1,090 - 1,325",Highland Park Club Apartments,"1001, North Negley Avenue, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4743228,-79.9254412,0.7064101953750105,-1.3949621050491277,[10.4223316],[11.17356729],[10.80697469],89,57,89
47,"5700 Bunkerhill St, Pittsburgh, PA 15206",1-2 Bed,844-617-0572,"$1,035 - 1,355",Parklane,"5700, Bunkerhill Street, Highland Park, PGH, Allegheny County, Pennsylvania, 15206, USA",40.47885745,-79.919646859801,0.706489339947936,-1.3948609747346745,[10.34740028],[11.12099131],[10.77369458],86,47,85
48,"2715 Murray Ave, Pittsburgh, PA 15217",Studio - 1 Bed,844-404-5887,"$890 - 1,155",Morrowfield,"The Morrowfield, 2715, Murray Avenue, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4284419,-79.924321639171,0.7056094226062322,-1.3949425650264853,[10.73834692],[11.20709527],[10.84901138],92,98,95
49,"515 S Aiken Ave, Pittsburgh, PA 15232",1 Bed,844-482-7905,"$1,180 - 1,225",Arlington,"515, South Aiken Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4554907716368,-79.938209335999,0.7060815144752436,-1.3951849510616527,[10.63087615],[11.28804508],[10.87823688],98,84,99
50,"8228 Ohio River Blvd, Pittsburgh, PA 15202",1-2 Bed,412-348-8305,$650 - 800,Emsworth Arms Apartments,"Ohio River Boulevard, Chateau, PGH, Allegheny County, Pennsylvania, 15233, USA",40.457283,-80.0299493,0.706112794761129,-1.3967861154891312,[10.40320262],[10.93869395],[10.58252526],72,55,58
51,"5 Grandview Ave, Pittsburgh, PA 15211",2 Bed,844-681-2898,"$1,800 - 2,200",Mountvue Apartments,"5, Grandview Avenue, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.4311716938775,-80.0061119795918,0.7056570664972953,-1.3963700757631552,[10.58800854],[11.15213529],[10.70111777],88,79,75
52,"700 Mansfield Ave, Pittsburgh, PA 15205",Studio - 2 Bed,412-924-8122,"$795 - 3,500",Terrain Apartments,"700, Mansfield Avenue, East Carnegie, Green Tree, Allegheny County, Pennsylvania, 15220, USA",40.417275207015,-80.0616588471137,0.7054145270470845,-1.3973395514905815,[10.21688582],[10.63812135],[10.23032663],50,30,10
53,"245 Lincoln Ave, Pittsburgh, PA 15202",Studio - 2 Bed,412-587-4921,$590 - 835,Lincoln House,"245, Lincoln Avenue, Larimer, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4605294438189,-79.9132832163029,0.7061694558947499,-1.3947499082032095,[10.54568745],[11.18904314],[10.85870934],91,73,96
54,"1601 Penn Ave, Pittsburgh, PA 15221",Studio - 2 Bed,844-218-9867,$569 - 889,Ambassador Apartments,"Penn Avenue, Park Place, Point Breeze North, PGH, Allegheny County, Pennsylvania, 15208, USA",40.4476295,-79.8966152,0.7059443094017878,-1.3944589964389478,[10.60222296],[11.10247001],[10.86722801],84,81,97
55,"1435 Parkview Blvd, Pittsburgh, PA 15217",2 Bed,844-564-8456,"$1,800",The Reserve at Summerset at Frick Park,"1435, Parkview Boulevard, Summerset, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4196597858361,-79.916100602411,0.7054561457987861,-1.3947990808670958,[10.73081654],[11.11474757],[10.80783341],85,97,89
56,"4500 Centre Ave, Pittsburgh, PA 15213",1-3 Bed,412-533-2310,"$964 - 1,650",One on Centre,"4500, Centre Avenue, Bellefield, North Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.451455,-79.953158,0.7060110769723229,-1.3954458544672446,[10.6611333],[11.31088941],[10.87538606],99,88,99
57,"824 Perry Hwy, Pittsburgh, PA 15229",1-2 Bed,412-365-5671,$695 - 825,Perry Highway Apartments,"Perrysville Avenue, Perry North, Ross Township, Allegheny County, Pennsylvania, 15214, USA",40.4983102,-80.0203109,0.7068288544840032,-1.3966178936745068,[10.12342649],[10.67086549],[10.46957488],53,18,43
58,"611 E Waterfront Dr, Munhall, PA 15120",1-3 Bed,412-368-9408,"$1,041 - 3,096",The Waterfront,"611, E Waterfront Drive, The Waterfront, Munhall, Allegheny County, Pennsylvania, 15120, USA",40.414013147517,-79.904473050118,0.7053575933684484,-1.3945961417956352,[10.70298691],[10.99901802],[10.76718487],77,94,84
59,"562 Oak Hill Dr, Pittsburgh, PA 15213",Townhome for Rent,,"$2,175",562 Oak Hill Dr,"Oak Hill Drive, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4432213,-79.9699101,0.7058673717977013,-1.395738233768868,[10.68190695],[11.30233991],[10.84987203],99,91,95
60,"3076 Terrace St, Pittsburgh, PA 15213",Townhome for Rent,,"$1,525",3076 Terrace St,"3076, Terrace Street, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4399002505426,-79.9678993416437,0.7058094085500481,-1.3957031394150883,[10.69611944],[11.30340173],[10.85002041],99,93,95
61,"340 Eckstein Pl, Pittsburgh, PA 15213",Townhome for Rent,,"$2,050",340 Eckstein Pl,"Eckstein Place, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4426089,-79.9685145,0.7058566834013622,-1.395713875953827,[10.68650797],[11.30445513],[10.85208332],99,92,95
62,"5644 Hempstead Rd, Pittsburgh, PA 15217",,,,5644 Hempstead Road,"5644, Hempstead Road, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4320085361293,-79.9266552081881,0.705671672149909,-1.3949832934891562,[10.73460002],[11.23228263],[10.8609683],94,98,97
63,"1404 Milan Ave, Pittsburgh, PA 15226",House for Rent,412-215-6748,"$1,095",1404 Milan Ave,"1404, Milan Avenue, West Liberty, Brookline, PGH, Allegheny County, Pennsylvania, 15226, USA",40.393757,-80.0092436666667,0.7050040569005072,-1.3964247340137546,[10.48307422],[10.92061866],[10.51728392],71,65,50
64,"239 Ingram Ave, Pittsburgh, PA 15205",Townhome for Rent,412-802-9142,$895,239 Ingram Ave,"239, Ingram Avenue, Fairywood, Ingram, Allegheny County, Pennsylvania, 15205, USA",40.442118,-80.0742565,0.7058481155800641,-1.3975594220114709,[10.09346072],[10.48172584],[10.17297867],39,14,3
